,0
0,0.0008298471802342735
1,0.0007570584078674444
2,0.0007029919688094552
3,0.0007634516077463975
4,0.0008496852824085423
5,0.000944608778253969
6,0.0007931581819736222
7,0.0007020712471155643
8,0.001129257819916074
9,0.0006443840170166364
10,0.00123933532475078
11,0.0012344794692178648
12,0.0010223081638472899
13,0.0009304875122797636
14,0.0017332293842733857
15,0.0011761700469254215
16,0.0009658759788274918
17,0.0015275370667422574
18,0.0013893515193869142
19,0.001549669194883853
20,0.0015692455436726689
21,0.0014752870177487578
22,0.0014373290243808302
23,0.0016464827766287694
24,0.0014975621432762706
25,0.0015847355576432019
26,0.001509428151372379
27,0.001647642906292777
28,0.002107843361688969
29,0.0012872768494328949
30,0.0023299029529265172
31,0.0017005108806670752
32,0.0022812031645503715
33,0.0020080051389429897
34,0.002354903594892146
35,0.0020443526526707913
36,0.0025773507184240494
37,0.0022179829033027276
38,0.0025324476227781183
39,0.002422867808289387
40,0.002803919120653795
41,0.0031002272055220864
42,0.0031958344877370346
43,0.0028580674597269247
44,0.003695750824531869
45,0.003556064030493354
46,0.0038654850137788133
47,0.003609083649036757
48,0.003671507625468991
49,0.004097023150765309
50,0.004595505945454736
51,0.0041370171283538265
52,0.004204695724613219
53,0.004915690956005997
54,0.004565973488283319
55,0.005173345414420577
56,0.005609536760578637
57,0.005882239538038391
58,0.006034640054044183
59,0.006572361343805235
60,0.006456038070650148
61,0.006806228794305192
62,0.007389588710855935
63,0.007897729182098131
64,0.007774712089332064
65,0.007403055943666176
66,0.008494662846974614
67,0.009460108091832667
68,0.009184340795581194
69,0.010156612589245889
70,0.009416221203370162
71,0.010743394868059412
72,0.009921871274930282
73,0.011871021661867103
74,0.011937468987396789
75,0.013401615800276536
76,0.013566177609277056
77,0.014837870605058309
78,0.015091374195475024
79,0.016433948948710992
80,0.017021731888940017
81,0.018034008336464874
82,0.019299831986971237
83,0.020596985472748658
84,0.02315763789168467
85,0.023323118853940818
86,0.02304392796118699
87,0.024069479686492777
88,0.02821022972423319
89,0.028487112043061376
90,0.029668275521722805
91,0.03132240597736928
92,0.033852821278763316
93,0.03487908203018885
94,0.03958875776848592
95,0.040871840611362203
96,0.04650732198994452
97,0.047192858869821254
98,0.0529307892726396
99,0.06443645272164214
