,0
0,0.003607338382422349
1,0.0035772357005851513
2,0.003368853439638646
3,0.0035247941009615732
4,0.003766014363599293
5,0.003687111390267726
6,0.0039721511299984
7,0.0037306528404432056
8,0.004193684211146986
9,0.0039513821156063125
10,0.0037092645422076203
11,0.0042958048142929615
12,0.00412248001704241
13,0.004036617085645503
14,0.004656901347697253
15,0.004715582682957464
16,0.004410338660183873
17,0.004519808108116599
18,0.004345714214937447
19,0.004925091408082524
20,0.005146301831038032
21,0.004782425346504123
22,0.004793774111374543
23,0.005229955221648925
24,0.005625812593098749
25,0.0055017419588878035
26,0.005567909031281357
27,0.005836302212541554
28,0.005382457695717566
29,0.005853151891886957
30,0.005874187257162514
31,0.005281159497290013
32,0.006053279319771518
33,0.005939642784641581
34,0.005374194185141404
35,0.006040618324876058
36,0.006337329487670228
37,0.006021762225619563
38,0.006744711468618234
39,0.006439127432623128
40,0.006462362417465974
41,0.007072416945016147
42,0.006650929282090972
43,0.0070892363495945986
44,0.0073220289330623994
45,0.007716574074487182
46,0.007644878811371483
47,0.007512164457377184
48,0.007098264713875068
49,0.007683298312574665
50,0.00806044071933888
51,0.008322151969451212
52,0.008431510557580004
53,0.00812325318803492
54,0.00839061216618755
55,0.008164593774938604
56,0.008992614981550701
57,0.008055910777962916
58,0.009130547980878216
59,0.009329468359547238
60,0.010648210957039377
61,0.010104293227115809
62,0.011245702429759509
63,0.01093733420041049
64,0.009833120094725995
65,0.01146507060139768
66,0.011786350576312473
67,0.01156051795091001
68,0.011582617794060085
69,0.011553991510841681
70,0.013723075633999354
71,0.012635905651020967
72,0.012082248011902441
73,0.012271879354401955
74,0.014060242992674749
75,0.01394345497472222
76,0.01413493868282343
77,0.01562494335034542
78,0.015001193624792223
79,0.015973528700939352
80,0.015603280023712144
81,0.015783786498635904
82,0.016067097845372965
83,0.01728459855174716
84,0.018178654373696146
85,0.018353654255150488
86,0.018496576746393635
87,0.017081992233673324
88,0.020086301031434668
89,0.01987734836014456
90,0.020943111446154416
91,0.020023547868568026
92,0.020738714748782933
93,0.019831859795887384
94,0.02107761225526722
95,0.022197495023624236
96,0.023417575558772906
97,0.023999699747806007
98,0.02346920075071764
99,0.02512334935864996
