,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,3.259452411994785e-07
39,0.0
40,1.376720901126408e-07
41,0.0
42,0.0
43,0.0
44,1.297016861219196e-08
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,1.297016861219196e-08
51,0.0
52,0.0
53,2.594033722438392e-08
54,1.0150708785410685e-07
55,1.297016861219196e-08
56,2.1167880920581664e-06
57,1.2867429632952774e-06
58,5.075354392705342e-08
59,1.7900715426969801e-06
60,6.6827194295186404e-06
61,5.2760449040866974e-06
62,1.3677121423761807e-05
63,1.788929434834472e-05
64,2.069670627537439e-05
65,3.605777041431462e-05
66,2.9998993235932038e-05
67,5.0275902513252035e-05
68,4.780835437678466e-05
69,8.060932802059325e-05
70,7.713978918401234e-05
71,0.00011726409386029595
72,0.0002772626842584725
73,0.0002017453323512871
74,0.00046981675217764267
75,0.0004860958851572342
76,0.0007608729885132272
77,0.0010523153974458877
78,0.001314115628364109
79,0.002019092553658064
80,0.002662140704562701
81,0.003649238681505237
82,0.004210300839639495
83,0.005943399168647661
84,0.006718015898365027
85,0.009214578324371215
86,0.01259074570965506
87,0.0150407563554169
88,0.018374830440804547
89,0.024594245425395265
90,0.027696555093256577
91,0.032943463377812954
92,0.037843350844351836
93,0.04692647565280897
94,0.050985523222024154
95,0.05885589898666723
96,0.06568509753849758
97,0.08800981660632455
98,0.1463556955043857
99,0.334609303954191
